id,date,lat,lon,lc
2019030,05-02-2019 09:26:00,37.116396,-122.330756,3
2019030,06-08-2019 00:00:00,37.11645,-122.33165,2
2019030,06-09-2019 00:00:00,36.90032,-122.79045,-1
2019030,06-10-2019 00:00:00,36.53532,-123.65871,-1
2019030,06-11-2019 00:00:00,36.68035,-125.91363,-1
2019030,06-12-2019 00:00:00,37.01204,-126.16581,-1
2019030,06-13-2019 00:00:00,37.26389,-127.32682,-1
2019030,06-14-2019 00:00:00,37.85713,-128.49078,0
2019030,06-15-2019 00:00:00,38.21501,-129.13614,-1
2019030,06-16-2019 00:00:00,38.65969,-130.12334,-1
2019030,06-17-2019 00:00:00,38.74715,-130.27832,0
2019030,06-18-2019 00:00:00,39.51579,-131.84643,-1
2019030,06-19-2019 00:00:00,39.97563,-132.65084,0
2019030,06-20-2019 00:00:00,40.38394,-133.56139,1
2019030,06-21-2019 00:00:00,40.60298,-133.7428,-1
2019030,06-22-2019 00:00:00,41.33692,-135.19154,-1
2019030,06-23-2019 00:00:00,41.58283,-135.47471,-1
2019030,06-24-2019 00:00:00,42.17205,-137.5325,-1
2019030,06-25-2019 00:00:00,42.28142,-137.24,-1
2019030,06-26-2019 00:00:00,42.66349,-138.65564,-1
2019030,06-27-2019 00:00:00,43.04589,-139.67309,-1
2019030,06-28-2019 00:00:00,43.42602,-140.52853,-1
2019030,06-29-2019 00:00:00,43.63016,-141.2992,0
2019030,06-30-2019 00:00:00,43.74616,-142.28711,2
2019030,07-01-2019 00:00:00,44.01572,-143.93295,-1
2019030,07-02-2019 00:00:00,44.11289,-144.00282,-1
2019030,07-03-2019 00:00:00,44.14167,-145.01054,0
2019030,07-04-2019 00:00:00,44.03826,-145.90305,0
2019030,07-05-2019 00:00:00,44.08,-147.30152,-2
2019030,07-06-2019 00:00:00,43.94594,-147.90799,-1
2019030,07-07-2019 00:00:00,44.11002,-148.7335,-1
2019030,07-08-2019 00:00:00,44.31811,-149.4326,0
2019030,07-09-2019 00:00:00,44.26116,-150.30186,-1
2019030,07-10-2019 00:00:00,44.15366,-150.45421,-1
2019030,07-11-2019 00:00:00,43.91127,-151.80106,1
2019030,07-12-2019 00:00:00,43.97338,-152.67377,-1
2019030,07-13-2019 00:00:00,43.98117,-152.86741,0
2019030,07-14-2019 00:00:00,43.70513,-153.6828,-1
2019030,07-15-2019 00:00:00,43.83402,-154.43771,0
2019030,07-16-2019 00:00:00,43.81381,-155.31755,-1
2019030,07-17-2019 00:00:00,43.59952,-156.33835,-1
2019030,07-18-2019 00:00:00,43.60126,-156.85141,0
2019030,07-19-2019 00:00:00,43.4931,-158.00963,-1
2019030,07-20-2019 00:00:00,43.24072,-158.46121,-1
2019030,07-21-2019 00:00:00,43.2307,-158.99789,-1
2019030,07-22-2019 00:00:00,43.24932,-159.12718,-1
2019030,07-23-2019 00:00:00,43.30456,-159.28938,0
2019030,07-25-2019 00:00:00,43.2839,-159.3347,-1
2019030,07-26-2019 00:00:00,43.40001,-159.52107,1
2019030,07-27-2019 00:00:00,43.65198,-159.32205,0
2019030,07-28-2019 00:00:00,43.6198,-159.70936,0
2019030,07-29-2019 00:00:00,43.67647,-160.11699,-1
2019030,07-30-2019 00:00:00,43.39062,-159.57906,-1
2019030,07-31-2019 00:00:00,43.41376,-160.39572,0
2019030,08-01-2019 00:00:00,43.32457,-160.58045,-1
2019030,08-02-2019 00:00:00,43.4967,-161.01676,0
2019030,08-03-2019 00:00:00,43.16001,-161.59454,2
2019030,08-04-2019 00:00:00,42.88178,-161.66606,0
2019030,08-05-2019 00:00:00,42.62152,-161.86842,1
2019030,08-06-2019 00:00:00,42.82669,-162.37419,-1
2019030,08-07-2019 00:00:00,43.09911,-162.74959,-1
2019030,08-08-2019 00:00:00,43.27182,-162.78854,-1
2019030,08-09-2019 00:00:00,43.89027,-162.39087,-1
2019030,08-10-2019 00:00:00,44.31686,-162.16893,-1
2019030,08-11-2019 00:00:00,44.23526,-161.53431,-2
2019030,08-12-2019 00:00:00,44.71154,-161.56956,1
2019030,08-13-2019 00:00:00,44.4322,-161.83428,1
2019030,08-14-2019 00:00:00,44.24775,-161.9765,0
2019030,08-15-2019 00:00:00,44.09005,-161.49641,-1
2019030,08-16-2019 00:00:00,43.98436,-161.70908,-1
2019030,08-17-2019 00:00:00,44.15594,-161.69322,-2
2019030,08-18-2019 00:00:00,44.23408,-161.3644,-1
2019030,08-19-2019 00:00:00,44.04256,-160.80293,0
2019030,08-20-2019 00:00:00,44.17747,-160.61393,0
2019030,08-21-2019 00:00:00,43.8869,-160.38588,-1
2019030,08-22-2019 00:00:00,43.83079,-160.36707,-1
2019030,08-23-2019 00:00:00,43.88958,-160.19932,-1
2019030,08-24-2019 00:00:00,43.94019,-160.07932,-1
2019030,08-25-2019 00:00:00,44.19637,-160.03903,0
2019030,08-26-2019 00:00:00,44.2968,-159.97751,0
2019030,08-28-2019 00:00:00,44.68433,-159.78009,0
2019030,08-29-2019 00:00:00,44.51918,-159.77777,-1
2019030,08-31-2019 00:00:00,44.53255,-159.8751,-1
2019030,09-01-2019 00:00:00,44.37943,-159.84327,1
2019030,09-02-2019 00:00:00,44.43384,-159.76984,-1
2019030,09-03-2019 00:00:00,44.49214,-159.92478,1
2019030,09-05-2019 00:00:00,44.49771,-160.09964,0
2019030,09-06-2019 00:00:00,44.58652,-160.18011,-1
2019030,09-07-2019 00:00:00,44.71788,-159.91378,-1
2019030,09-08-2019 00:00:00,44.84882,-159.87,1
2019030,09-09-2019 00:00:00,44.79145,-159.83414,-1
2019030,09-10-2019 00:00:00,44.82962,-159.75984,-1
2019030,09-11-2019 00:00:00,44.99409,-159.63349,2
2019030,09-12-2019 00:00:00,45.10143,-159.76641,0
2019030,09-13-2019 00:00:00,45.171,-159.94102,-1
2019030,09-14-2019 00:00:00,45.07492,-159.91564,-1
2019030,09-15-2019 00:00:00,45.01732,-160.18826,0
2019030,09-16-2019 00:00:00,44.76823,-160.34822,0
2019030,09-17-2019 00:00:00,44.68138,-160.36036,-1
2019030,09-18-2019 00:00:00,44.65445,-160.08605,0
2019030,09-20-2019 00:00:00,44.63047,-160.1517,1
2019030,09-21-2019 00:00:00,44.67336,-160.20708,2
2019030,09-22-2019 00:00:00,44.7352,-160.1398,0
2019030,09-23-2019 00:00:00,44.71082,-160.35123,3
2019030,09-24-2019 00:00:00,44.69839,-160.31959,1
2019030,09-25-2019 00:00:00,44.52093,-160.73527,0
2019030,09-26-2019 00:00:00,44.65336,-160.99039,0
2019030,09-29-2019 00:00:00,44.87324,-160.64488,1
2019030,10-01-2019 00:00:00,44.82486,-160.82102,0
2019030,10-02-2019 00:00:00,44.66559,-160.82186,1
2019030,10-03-2019 00:00:00,44.46703,-160.97432,1
2019030,10-04-2019 00:00:00,44.43569,-161.12548,1
2019030,10-05-2019 00:00:00,44.28437,-161.251,0
2019030,10-07-2019 00:00:00,44.01509,-160.71045,0
2019030,10-08-2019 00:00:00,43.94691,-160.67871,-1
2019030,10-09-2019 00:00:00,43.6608,-160.84942,0
2019030,10-10-2019 00:00:00,43.59197,-160.93476,0
2019030,10-12-2019 00:00:00,43.47511,-161.00761,1
2019030,10-13-2019 00:00:00,43.48259,-161.08439,-1
2019030,10-14-2019 00:00:00,43.59862,-161.02818,-1
2019030,10-15-2019 00:00:00,43.44596,-160.86022,-1
2019030,10-18-2019 00:00:00,43.43711,-161.22075,0
2019030,10-19-2019 00:00:00,43.28992,-160.87805,-1
2019030,10-20-2019 00:00:00,43.52422,-161.13525,-1
2019030,10-21-2019 00:00:00,43.99428,-161.24223,-1
2019030,10-22-2019 00:00:00,44.00264,-161.0544,1
2019030,10-23-2019 00:00:00,44.25203,-160.75357,-1
2019030,10-24-2019 00:00:00,44.5132,-160.16902,-2
2019030,10-25-2019 00:00:00,44.35185,-159.59086,0
2019030,10-26-2019 00:00:00,44.35683,-159.47645,1
2019030,10-27-2019 00:00:00,44.12519,-158.97146,1
2019030,10-28-2019 00:00:00,44.25519,-158.76125,2
2019030,10-29-2019 00:00:00,44.29323,-158.06291,-1
2019030,10-30-2019 00:00:00,44.19573,-157.77843,-1
2019030,10-31-2019 00:00:00,44.27312,-157.52495,1
2019030,11-01-2019 00:00:00,44.61251,-157.57409,2
2019030,11-02-2019 00:00:00,44.76329,-157.39286,-1
2019030,11-03-2019 00:00:00,44.97385,-157.08291,-1
2019030,11-04-2019 00:00:00,45.42664,-157.32316,-2
2019030,11-05-2019 00:00:00,45.57889,-157.42637,1
2019030,11-06-2019 00:00:00,45.74838,-157.41111,-1
2019030,11-07-2019 00:00:00,45.44815,-157.0295,-1
2019030,11-08-2019 00:00:00,45.32165,-156.71828,-1
2019030,11-09-2019 00:00:00,45.34228,-156.50918,1
