"","TimeNum","locType","lc","id","GMT","date","lat","lon","ID","time","ok","optional","errX","errY","mu.x","nu.x","mu.y","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed"
"1",432441.433333333,"p",3,2019030,2019-05-02 09:26:00,"05-02-2019 09:26:00",37.116396,237.669244,"2019030",0,TRUE,TRUE,0,0,237.670879646816,0.00183753051679199,37.116396,0.000459604959585901,0.197012689946612,0.0241867732448957,0,0.0241867732448957,0.00189413703807771
"3",432442.433333333,"p",NA,NA,2019-05-02 10:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.672717177328,0.00183753050399379,37.1168556049585,0.00045960495625243,0.19824227601599,0.024,0.0240624188310319,0.024,0.00189413702485313
"4",432443.433333333,"p",NA,NA,2019-05-02 11:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.674554707815,0.00183753046559647,37.1173152099103,0.000459604946251304,0.202286924935845,0.0238117617995813,0.0478539444560216,0.0238117617995813,0.00189413698517658
"5",432444.433333333,"p",NA,NA,2019-05-02 12:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.676392238251,0.0018375304015918,37.1177748148488,0.000459604929580385,0.208897103857378,0.0236431808350738,0.0714002801114954,0.0236220236220354,0.00189413691903957
"6",432445.433333333,"p",NA,NA,2019-05-02 13:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.67822976861,0.00183753031196612,37.1182344197672,0.000459604906236111,0.217761337247915,0.0234520787991171,0.0947048045243746,0.0234520787991171,0.00189413682642797
"7",432446.433333333,"p",NA,NA,2019-05-02 14:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.680067298866,0.00183753019670027,37.118694024659,0.000459604876213492,0.228543212544149,0.0232808934536456,0.117762472800124,0.023259406699226,0.00189413670732198
"8",432447.433333333,"p",NA,NA,2019-05-02 15:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.681904828995,0.00183753005576961,37.1191536295174,0.000459604839506112,0.240919073549605,0.0231084400165827,0.14058449416632,0.0230867927612304,0.00189413656169615
"9",432448.433333333,"p",NA,NA,2019-05-02 16:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.683742358969,0.00183752988914403,37.1196132343358,0.000459604796106126,0.254591830190994,0.0229346898823594,0.163165560091583,0.0229346898823594,0.00189413638951936
"10",432449.433333333,"p",NA,NA,2019-05-02 17:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.685579888765,0.00183752969678791,37.1200728391074,0.000459604746004258,0.269308373430905,0.022781571499789,0.185515498004884,0.0227596133534821,0.0018941361907548
"11",432450.433333333,"p",NA,NA,2019-05-02 18:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.687417418354,0.00183752947866015,37.1205324438256,0.000459604689189801,0.284854348746864,0.0226274169979695,0.207634293891929,0.0226053091109146,0.00189413596536001
"12",432451.433333333,"p",NA,NA,2019-05-02 19:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.689254947713,0.00183752923471411,37.1209920484835,0.000459604625650612,0.301051490612486,0.0224722050542442,0.229525597700997,0.0224499443206436,0.0018941357132868
"13",432452.433333333,"p",NA,NA,2019-05-02 20:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.691092476815,0.00183752896489768,37.1214516530746,0.000459604555373112,0.317757769377871,0.0223159136044214,0.251193152772921,0.022293496809608,0.0018941354344813
"14",432453.433333333,"p",NA,NA,2019-05-02 21:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.692930005634,0.00183752866915318,37.121911257592,0.00045960447834228,0.334855192583302,0.0221585198061603,0.272640789318106,0.0221359436211787,0.00189413512888393
"15",432454.433333333,"p",NA,NA,2019-05-02 22:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.694767534145,0.00183752834741741,37.122370862029,0.000459604394541654,0.352248491834954,0.0220227155455452,0.29386901844189,0.022,0.00189413479642937
"16",432455.433333333,"p",NA,NA,2019-05-02 23:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.696605062321,0.0018375279996216,37.1228304663789,0.000459604303953323,0.369860784620376,0.0218632111090754,0.314882517774487,0.0218632111090754,0.00189413443704658
"17",432456.433333333,"p",NA,NA,2019-05-03 00:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.698442590135,0.00183752762569142,37.1232900706347,0.000459604206557928,0.387631268088631,0.0217255609824004,0.335685865058391,0.0217025344142107,0.00189413405065874
"18",432457.433333333,"p",NA,NA,2019-05-03 01:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.700280117563,0.00183752722554696,37.1237496747897,0.000459604102334652,0.405508322972538,0.0215870331449229,0.356277981357254,0.0215870331449229,0.00189413363718328
"19",432458.433333333,"p",NA,NA,2019-05-03 02:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.702117644578,0.0018375267991027,37.1242092788371,0.000459603991261222,0.423450115125737,0.0214476105895272,0.376664306777268,0.0214476105895272,0.00189413319653182
"20",432459.433333333,"p",NA,NA,2019-05-03 03:26:00,NA,NA,NA,"2019030",NA,NA,NA,NA,NA,237.703955171153,0.00183752634626749,37.1246688827699,0.000459603873313897,0.441421567212115,0.0213307290077015,0.396847577792784,0.0213072757526625,0.00189413272861019
