deployment_code,pi_code,process,public,country,updated
wd04,HINDELL,1,1,AUSTRALIA,0
sa01,BESTER-AWI  ,1,1,SOUTH-AFRICA,0
vc04,UNKNOWN,1,0,CANADA,0
vc03,UNKNOWN,1,0,CANADA,0
pv52,UNKNOWN,1,0,CANADA,0
ct124,MUELBERT,1,1,BRAZIL,0
bs1,STANILAN,1,0,UK,1
hg51x,UNKNOWN,1,0,NETHERLANDS,1
pv61,UNKNOWN,1,0,NETHERLANDS,1
hg51,UNKNOWN,1,0,NETHERLANDS,1
hg46LT,UNKNOWN,1,0,NETHERLANDS,1
hg46LZ,UNKNOWN,1,0,NETHERLANDS,1
hg46G,UNKNOWN,1,0,NETHERLANDS,1
pv60L,UNKNOWN,1,0,NETHERLANDS,1
hg43G,UNKNOWN,1,0,NETHERLANDS,1
hg43LT,UNKNOWN,1,0,NETHERLANDS,1
hg43LZ,UNKNOWN,1,0,NETHERLANDS,1
pv54L,UNKNOWN,1,0,NETHERLANDS,1
ct126,COSTA   ,1,1,USA,1
ct120,XSTOPHE,1,1,FRANCE,1
ag01,NPOLAR  ,0,0,NORWAY,0
bv3,NPOLAR  ,0,0,NORWAY,0
np01,NPOLAR  ,0,0,NORWAY,0
ct127,UNKNOWN,1,0,ARGENTINA,0
rh01,FEDAK   ,1,1,UK,1
hg48,FEDAK   ,1,1,UK,1
hg48a,FEDAK   ,1,1,UK,1
rs27,HOLLAND ,0,0,UNKNOWN,0
NP04c,NPOLAR,0,0,UNKNOWN,0
DL01,STANTEC,0,0,UNKNOWN,0
eb03,STANTEC,0,0,UNKNOWN,0
ct123,SARDI,0,0,UNKNOWN,0
ct125,COSTA,0,0,UNKNOWN,0
