deployment_code,pi_code,process,public,country,updated
AL01,AFGAME  ,0,0,USA,0
ct113,AWI     ,1,1,GERMANY,0
ct21,AWI     ,1,1,GERMANY,1
ct35,AWI     ,1,1,GERMANY,1
ct35b,AWI     ,1,1,GERMANY,1
ct44,AWI     ,1,1,GERMANY,1
ct68,AWI     ,1,1,GERMANY,1
ct87,AWI     ,1,1,GERMANY,1
ct99,AWI     ,1,1,GERMANY,1
wd06,AWI     ,1,1,GERMANY,0
wd07,AWI     ,1,1,GERMANY,0
ct33,BESTER  ,1,1,SOUTH-AFRICA,1
ct42,BESTER  ,1,1,SOUTH-AFRICA,1
ct50,BESTER  ,1,1,SOUTH-AFRICA,1
ct90,BESTER  ,1,1,SOUTH-AFRICA,1
ct102,BESTER-AWI  ,1,1,GERMANY,1
ct35x,BESTER-AWI  ,1,1,SOUTH-AFRICA,1
ct54,BESTER-AWI  ,1,1,GERMANY,1
ct73,BESTER-AWI  ,1,1,SOUTH-AFRICA,1
sa01,BESTER-AWI  ,1,1,SOUTH-AFRICA,0
ct89,BLOCK   ,1,0,USA,1
ct125,COSTA,1,0,USA,0
ct127,COSTA,1,0,USA,0
ct10,COSTA   ,1,1,USA,1
ct107,COSTA   ,1,1,USA,1
ct114,COSTA   ,1,0,USA,0
ct12,COSTA   ,1,1,USA,1
ct126,COSTA   ,1,0,USA,1
ct129,COSTA   ,0,0,USA,0
ct13,COSTA   ,1,1,USA,1
ct14,COSTA   ,1,1,USA,1
ct15,COSTA   ,1,0,USA,1
ct17,COSTA   ,1,1,USA,1
ct19,COSTA   ,1,1,USA,1
ct25,COSTA   ,1,1,USA,1
ct28,COSTA   ,1,1,USA,1
ct29,COSTA   ,1,1,USA,1
ct30,COSTA   ,1,1,USA,1
ct37,COSTA   ,1,1,USA,1
ct4,COSTA   ,1,1,USA,1
ct41,COSTA   ,1,1,USA,1
ct48,COSTA   ,1,1,USA,1
ct51,COSTA   ,1,1,USA,1
ct53,COSTA   ,1,1,USA,1
ct63,COSTA   ,1,1,USA,1
ct67,COSTA   ,1,1,USA,1
ct74,COSTA   ,1,1,USA,1
ct88,COSTA   ,1,1,USA,1
ct9,COSTA   ,1,1,USA,1
ft09,COSTA   ,1,1,USA,1
ct1,FEDAK   ,1,1,UK,1
ct40,FEDAK   ,1,1,UK,1
ct45,FEDAK   ,1,1,UK,1
ct49,FEDAK   ,1,1,UK,1
ct58,FEDAK   ,1,1,UK,1
ct65,FEDAK   ,1,1,UK,1
ct8,FEDAK   ,1,1,UK,1
hg48,FEDAK   ,1,1,UK,1
hg48a,FEDAK   ,1,1,UK,1
rh01,FEDAK   ,1,1,UK,1
ct121,GAO,1,0,CHINA,1
ct105,GAO     ,1,1,CHINA,1
ct118,GOEBEL  ,1,0,USA,0
ct57,GOEBEL  ,1,0,USA,0
ct83,GOEBEL  ,1,0,USA,0
NW01,GRONLAND,0,0,GRONLAND,0
ct55,HAMMILL ,1,1,CANADA,1
hd1,HAMMILL ,0,0,CANADA,0
hd2bb,HAMMILL ,1,1,CANADA,0
hd2f,HAMMILL ,1,1,CANADA,0
hd2g,HAMMILL ,1,1,CANADA,0
hd3,HAMMILL ,1,1,CANADA,0
hd5bb,HAMMILL ,1,1,CANADA,0
hd5g,HAMMILL ,0,0,CANADA,0
hd6,HAMMILL ,1,1,CANADA,0
hg19,HAMMILL ,1,1,CANADA,0
hg4,HAMMILL ,1,1,CANADA,0
hg5,HAMMILL ,0,0,CANADA,0
hg9,HAMMILL ,1,1,CANADA,0
hp1,HAMMILL ,0,0,CANADA,0
hp2,HAMMILL ,1,1,CANADA,0
MH1,HAMMILL ,0,0,CANADA,0
MH2,HAMMILL ,0,0,CANADA,0
MH3,HAMMILL ,0,0,CANADA,0
MH4,HAMMILL ,0,0,CANADA,0
MH5,HAMMILL ,0,0,CANADA,0
MH6,HAMMILL ,0,0,CANADA,0
rs11,HAMMILL ,1,1,CANADA,0
rs18,HAMMILL ,1,1,CANADA,0
rs28,HAMMILL ,1,0,CANADA,0
rs3,HAMMILL ,0,0,CANADA,0
rs6,HAMMILL ,1,1,CANADA,0
rs9,HAMMILL ,1,1,CANADA,0
tu34,HAMMILL ,0,0,CANADA,0
wd04,HINDELL,1,1,AUSTRALIA,0
awru1,HINDELL ,1,1,AUSTRALIA,1
ct2,HINDELL ,1,1,AUSTRALIA,1
ct36,HINDELL ,1,1,AUSTRALIA,1
ct38w,HINDELL ,1,1,AUSTRALIA,1
ct47,HINDELL ,1,1,AUSTRALIA,1
ct6,HINDELL ,1,1,AUSTRALIA,1
