deployment_code,T1,T2,S1,S2,remove,Sremove,comment
ct131-048BAT2-15,0,0,0,0,0,0,
ct131-049BAT2-16,0,0,0,0,0,0,
ct131-050BAT2-16,0,0,0,0.05,0,0,
ct131-075BAT-16,0,0,0,0,0,0,
ct131-265BAT2-16,0,0,0,0,0,0,
ct131-C2BAT3-12,0,0,0,0.1,0,0,
ct132-328F-16,0,0,0,0,0,0,
ct132-329-16,0,0,0,-0.18,0,0,
ct132-330F-16,0,0,0,0,0,0,
ct132-331-16,0,0,0,-0.05,0,0,
ct132-PCA76-16,0,0,0,0,0,0,
ct133-156-15,0,0,0,0.15,0,0,
ct133-160-15,0,0,0,0.1,0,0,
ct134-164-15,0,0,0,0.03,0,0,
ct134-165-15,0,0,0,0,0,0,
ct134-276-14,0,0,0,0.1,0,0,
ct134-277-14,0,0,0,0.2,0,0,
ct134-295-14,0,0,0,0,1,0,
ct134-301-14,0,0,0,0,0,1,
ct134-303-14,0,0,0,0.03,0,0,
ct134-304-14,0,0,0,0.05,0,0,
ct134-354-16,0,0,0,0,0,0,
ct134-357-16,0,0,0,0,0,0,
ct134-358-16,0,0,0,0,0,0,
ct134-360-16,0,0,0,0,0,0,
ct134-361-16,0,0,0,0,0,0,
ct134-368-16,0,0,0,0,0,0,
ct134-416-16,0,0,0,0,0,0,
ct134-417-16,0,0,0,0,0,0,
ct134-418-16,0,0,0,0,0,0,
ct134-419-16,0,0,0,0,0,0,
ct134-420-16,0,0,0,0,0,0,
ct134-421-16,0,0,0,0,0,0,
ct134-422-16,0,0,0,0,0,0,
ct134-440-16,0,0,0,0,0,0,
ct134-441-16,0,0,0,0,0,0,
ct135-084BAT-14,0,0,0,0.1,0,0,
ct135-184BAT-14,0,0,0,0,0,0,
ct135-186BAT-14,0,0,0,-0.03,0,0,
ct135-188BAT-14,0,0,0,0,1,0,
ct135-190BAT-14,0,0,0,0.03,0,0,
ct135-297BAT-13,0,0,-0.06,-0.15,0,0,
ct135-892BAT-12,0,0,0,0,1,0,
ct135-937BAT-14,0,0,0,0,0,1,
ct135-939BAT-14,0,0,0.02,0.02,0,0,
ct135-965BAT-14,0,0,0.05,0.02,0,0,
ct135-966BAT-14,0,0,0,0,0,0,
ct136-225-14,0,0,0,0,0,0,
ct136-236BAT-12,0,0,0,0,0,0,
ct136-892BAT-13,0,0,0,0,0,0,
ct136-F222BAT2-14,0,0,0,0,0,0,
ct136-F628BAT3-12,0,0,0,0,0,0,
ct137-189BAT-14,0,0,0,0.08,0,0,
ct137-227BAT-12,0,0,0,-0.04,0,0,
ct137-231BAT-14,0,0,0,0.15,0,0,
ct137-267BAT-14,0,0,0,0.05,0,0,
ct137-268BAT-14,0,0,0,0.11,0,0,
ct137-367BAT-15,0,0,0,0.1,0,0,
ct137-427-11,0,0,0,0.1,0,0,
ct137-428-10,0,0,0,0.15,0,0,
ct137-933BAT-13,0,0,0,0.1,0,0,
ct137-953BAT-13,0,0,0,0.09,0,0,
ct138-F70-17,0,0,0,0,0,0,
ct138-F72-17,0,0,0,0,0,0,
ct138-F75-17,0,0,0,0,0,0,
ct138-F77-17,0,0,0,0,0,0,
ct138-F78-17,0,0,0,0,0,0,
ct138-F85-17,0,0,0,0,0,0,
ct138-M75-17,0,0,0,0,0,0,
ct138-M80-17,0,0,0,0,0,0,
ct138-M88-17,0,0,0,0,0,0,
ct138-M89-17,0,0,0,0,0,0,
ct139-035BAT3-15,0,0,0,0,0,0,
ct139-075BAT2-16,0,0,0,-0.05,0,0,
ct139-265BAT3-16,0,0,0,-0.02,0,0,
ct139-331BAT-16,0,0,0,0.2,0,0,
ct139-619-17,0,0,0,0,0,1,
ct139-622-17,0,0,0,0,0,0,
ct139-623-17,0,0,0,-0.05,0,0,
ct139-624-17,0,0,0,0,0,1,
ct139-F328BAT-16,0,0,0,0,0,0,
ct139-F620-17,0,0,0,0,0,0,
ct139-F621-17,0,0,0,0,0,0,
ct139-F932BAT-13,0,0,0,0.05,0,0,
ct139-PCA077-16,0,0,0,0,0,0,
ct139-PCA078-16,0,0,0,-0.35,0,0,
ct14-068-06,0,0,0,-0.1,0,0,
ct14-103-06,0,0,0,0.2,0,0,
ct14-104-06,0,0,0,0.1,0,0,
ct14-105-06,0,0,0,0.12,0,0,
ct14-106-06,0,0,0,-0.05,0,0,
ct14-111-06,0,0,0,-0.01,0,0,
ct14-113-06,0,0,0,0,1,0,
ct14-116-06,0,0,0,0,1,0,
ct14-117-06,0,0,0,-0.5,1,0,
ct14-118-06,0,0,0,0,0,1,
ct14-175-06,0,0,0.04,0,0,0,
ct14-177-06,0,0,0,0,1,0,
ct140-154BAT-15,0,0,0,0,0,0,
ct140-158BAT-15,0,0,0,-0.05,0,0,
ct140-159BAT-15,0,0,0,0,0,0,
ct140-161-15,0,0,0.05,0.35,0,0,
ct140-162-15,0,0,0,0,1,0,
ct140-163-15,0,0,0,0.01,0,0,
ct140-166-15,0,-0.05,0.05,0.01,0,0,
ct140-168-15,0,0,0,0,1,0,
ct140-169-15,0,0,0,0.01,0,0,
ct140-170-15,0,0,0,0,0,0,
ct140-171-15,0,0,0,0,0,0,
ct140-172-15,0,0,0,0.025,0,0,
ct140-173-15,0,0,0,0.15,0,0,
ct140-174-15,0,-0.05,0,0.1,0,0,
ct140-175-15,0,0,0,0.05,0,0,
ct140-176-15,0,0,0,-0.05,0,0,
ct140-177-15,0,0.1,0.05,-0.075,0,0,
ct140-178-15,0,0,0,0,0,0,
ct140-179-15,0,0,0.05,0.15,0,0,
ct140-188-15,0,0,0.05,0.05,0,0,
ct140-189-15,0,0,0,0,0,0,
ct140-635BAT-13,0,0,0,-0.025,0,0,
ct140-690BAT-13,0,0,0,-0.02,0,0,
ct140-695BAT-13,0,0,0,-0.025,0,0,
ct140-699BAT-13,0,0,0,0,0,0,
ct140-700BAT-13,0,0,0.05,-0.17,0,0,
ct140-956BAT-14,0,0,0,0,0,0,
ct141-640AM-17,0,0,0,0,0,0,
ct141-641AF-17,0,0,0,0,0,0,
ct141-642AM-17,0,0,0,0.2,0,0,
ct141-643AM-17,0,0,0,0.2,0,0,
ct141-645SM-17,0,0,0,0.2,0,0,
ct141-646SM-17,0,0,0,-0.01,0,0,
ct141-647AF-17,0,0,0,-0.01,0,0,
ct141-663AF-17,0,0,0,0.02,0,0,
ct141-664SM-17,0,0,0,0.01,0,0,
ct141-665AF-17,0,0,0,0.25,0,0,
ct141-668AF-17,0,0,0,0.2,0,0,
ct141-669AM-17,0,0,0,0.16,0,0,
ct141-671AF-17,0,0,0,-0.01,0,0,
ct141-672AF-17,0,0,0,0.2,0,0,
ct141-673AF-17,0,0,0,0.02,0,0,
ct142-1-17,0,0,0,0,0,0,
ct142-2-17,0,0,0,0,0,0,
ct142-3-17,0,0,0,0,0,0,
ct143-666-18,0,0,0,0,0,0,
ct143-667-18,0,0,0,0,0,0,
ct144-084BAT2-14,0,0,0,0,0,0,
ct144-186BAT2-14,0,0,0,0.05,0,0,
ct144-190BAT2-14,0,0,0,0.1,0,0,
ct144-278BAT-14,0,0,0,0.07,0,0,
ct144-298BAT-14,0,0,0,0,0,0,
ct144-331BAT2-16,0,0,0,-0.04,0,0,
ct144-622BAT-17,0,0,0,0.14,0,0,
ct144-624BAT-17,0,0,0,-0.03,0,0,
ct144-800-18,0,0,0,-0.15,0,0,
ct144-801-18,0,0,0,-0.05,0,0,
ct144-802-18,0,0,0,0,0,0,
ct144-939BAT2-14,0,0,0,0.02,0,0,
ct144-965BAT2-14,0,0,0,-0.02,0,0,
ct144-F620BAT-17,0,0,0,0.15,0,0,
ct144-F932BAT2-13,0,0,0,0.25,0,0,
ct145-227-BAT2-18,0,0,0,-0.01,0,0,
ct145-231-BAT2-18,0,0,0,0.1,0,0,
ct145-235-BAT-18,0,0,0,0.18,0,0,
ct145-269-BAT-18,0,0,0,0,1,0,
ct145-366-BAT2-18,0,0,0,0.05,0,0,
ct145-367-BAT2-18,0,0,0,0.05,0,0,
ct145-423-BAT-18,0,0,0,0.02,0,0,
ct145-427-BAT-18,0,0,0,0.01,0,0,
ct145-428-BAT-18,0,0,0,0.12,0,0,
ct145-675-BAT-18,0,0,0,-0.3,0,0,
ct145-767-18,0,0,0,0,0,0,
ct145-933-BAT2-18,0,0,0,0.03,0,0,
ct145-953-BAT2-18,0,0,0,0.03,0,0,
ct145-F995-18,0,0,0,-0.01,0,0,
ct146-1-18,0,0,0,-0.05,0,0,
ct147-04-18,0,0,0,0,0,0,
ct148-932-18,0,0,0,0.01,0,0,
ct148-933-18,0,0,0,-0.08,0,0,
ct148-934-18,0,0,0,0,0,0,
ct148-935-18,0,0,0,0,0,0,
ct148-936-18,0,0,0,-0.2,0,0,
ct148-937-18,0,0,0,0,1,0,
ct148-938-18,0,0,0,0,0,0,
ct148-939-18,0,0,0,0.24,0,0,
ct148-940-18,0,0,0,-0.05,0,0,
ct148-941-18,0,0,0,0.05,0,0,
ct148-944-18,0,0,0,-0.09,0,0,
ct148-945-18,0,0,0,0.02,0,0,
ct148-946-18,0,0,0,-0.11,0,0,
ct148-947-18,0,0,0,-0.05,0,0,
ct148-948-18,0,0,0,0,1,0,
ct148-961-18,0,0,0,-0.01,0,0,
ct148-962-18,0,0,0,-0.06,0,0,
ct148-963-18,0,0,0,-0.04,0,0,
ct148-964-18,0,0,0,-0.05,0,0,
ct148-965-18,0,0,0,-0.06,0,0,
ct148-966-18,0,0,0,0.01,0,0,
ct148-967-18,0,0,0,-0.02,0,0,
ct148-968-18,0,0,0,-0.03,0,0,
ct148-969-18,0,0,0,0,0,0,
ct148-970-18,0,0,0,0,0,0,
ct149-922-18,0,0,0,0.01,0,0,
ct149-923-18,0,0,0,-0.01,0,0,
ct149-924-18,0,0,0,-0.1,0,0,
ct149-925-18,0,0,0,-0.05,0,0,
ct149-926-18,0,0,0,-0.1,0,0,
ct149-927-18,0,0,0,-0.01,0,0,
ct149-928-18,0,0,0,-0.04,0,0,
ct149-929-18,0,0,0,-0.01,0,0,
ct149-930-18,0,0,0,0,0,0,
ct149-931-18,0,0,0,0,0,0,
ct15-171-05,0,0,0,0.02,1,0,
ct15-172-05,0,0,0,0,1,0,
ct150-05-VERT-18,0,0,0,0,0,0,
ct150-06-BULL-18,0,0,0,0,0,0,
ct150-12-VERT-18,0,0,0,0,0,0,
ct150-416BAT-16,0,0,0,0,0,0,
ct16-174-06,0,0,0,0.62,0,0,
ct16-238-06,0,0,0,-0.04,0,0,
ct16-240-06,0,0,0,0,0,1,
ct16-241-06,0,0,0,0.3,0,0,
ct16-317-06,0,0,0,0,0,0,
ct17-f100-06,0,0,0,-0.1,0,0,
ct17-m007-06,0,0,0,-0.36,0,0,
ct17-m070-06,0,0,0,-0.11,0,0,
ct17-m098-06,0,0,0,0,0,1,
ct17-m099-06,0,0,0,0,1,0,
ct17-m107-06,0,0,0,0,0,0,
ct17-m110-06,0,0,0,0.21,0,0,
ct18-L-06,0,0,0,0,0,0,
ct19-007-06,0,0,0,0,1,0,
ct19-054-06,0,0,0,0.6,0,0,
ct19-057-06,0,0,0,0.2,0,0,
ct2-9916-04,0,0,0,0,0,1,
ct2-9919-04,0,0,0,0.55,0,0,
ct2-9920-04,0,0,0,0.5,0,0,
ct2-9925-04,0,0,0,0,0,1,
ct20-414-06,0,0,0,0,0,0,
ct20-414r-06,0,0,0,0,0,0,
ct20-415-06,0,0,0,0,0,0,
ct20-416-06,0,0,0,0,0,0,
ct20-417-06,0,0,0,0,0,0,
ct21-36-07,0,0,0,0.15,0,1,
ct21-37-07,0,0,0,0.02,0,0,
ct21-38-07,0,0,0,-0.02,0,0,
ct21-39-07,0,0,0,0,0,0,
ct21-41-07,0,0,0,0.15,0,0,
ct21-GG178-07,0,0,0,0.08,0,0,
ct22-11-08,0,0,0,0,0,1,
ct22-17-08,0,0,0,0,0,1,
ct23-C01-06,0,0,0,0,0,0,
ct23-C02-06,0,0,0,0,0,0,
ct23-C03-06,0,0,0,0,0,0,
ct23-C04-06,0,0,0,0,0,0,
ct23-C05-06,0,0,0,0,0,0,
ct23-C06-06,0,0,0,0,0,0,
ct23-C07-06,0,0,0,0,0,0,
ct23-C08-06,0,0,0,0,0,0,
ct23-C09-06,0,0,0,-0.05,0,0,
ct23-C10-06,0,0,0,-0.1,0,0,
ct23-C11-06,0,0,-0.05,-0.05,0,0,
ct23-C12-06,0,0,0.03,-0.05,0,0,
ct23x-529-08,0,0,-0.1,0,0,0,
ct23x-536-08,0,0,-0.042,0.02,0,0,
ct23x-537-08,0,0,-0.035,0,0,0,
ct23x-589-08,0,0,-0.054,-0.04,0,0,
ct23x-602-08,0,0,0.05,0.15,0,0,
ct23x-exF-08,0,0,0,0.06,0,0,
ct25-054-07,0,0,0,0.58,0,0,
ct25-490-07,0,0,0,0,0,0,
ct25-556-07,0,0,0,0.11,0,0,
ct25-557-07,0,0,0,0,0,0,
ct25-558-07,0,0,-0.05,-0.1,0,0,
ct25-559-07,0,0,0,0,0,0,
ct25-560-07,0,0,0,0.05,0,0,
ct25-561-07,0,0,0,0.05,0,0,
ct25-562-07,0,0,0,-0.02,0,0,
ct25-563-07,0,0,0,-0.2,0,0,
ct25-564-07,0,0,0,0.01,0,0,
ct25-568-07,0,0,0,0,0,0,
ct25-568r-07,0,0,0,0,0,0,
ct26-C13-07,0,0,0,-0.05,0,0,
ct26-C14-07,0,0,0,0,0,0,
ct26-C15-07,0,0,-0.05,0,0,0,
ct26-C16-07,0,0,0.03,0.07,0,0,
ct27-W1-07,0,0,0,0.2,0,0,
ct27-W2-07,0,0,0,0.2,0,0,
ct27-W3-07,0,0,0,0.15,0,0,
ct27-W5-07,0,0.05,0,0.15,0,0,
ct27x-W4-07,0,0,0,0.24,0,0,
ct28-574-07,0,0,0,0.08,1,0,
ct28-574r-07,0,0,0,0.09,0,0,
ct28-575-07,0,0,0,0.1,1,0,
ct28-575r-07,0,0,0,0.09,0,0,
ct28-576-07,0,0,0,0.1,0,0,
ct28-581-07,0,0,0,0,0,0,
ct28-582-07,0,0,0,0.05,0,0,
ct28-583-07,0,0,0,0.08,0,0,
ct29-591-07,0,0,0,0,0,0,
ct29-599-07,0,0,0,0.05,0,0,
ct29-628-07,0,0,0,0,0,0,
ct29-629-07,0,0,0,0.03,0,0,
ct29-630-07,0,0,0,0,0,0,
ct29-631-07,0,0,0,0,0,0,
ct29-632-07,0,-0.1,0.1,0.18,0,0,
ct29-633-07,0,0,0,0,0,0,
ct29-635-07,0,0,0.05,0,0,0,
