deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul
ct1,FEDAK,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/29/2004,12/31/2004,731975
ct40,FEDAK,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/25/2008,01/01/2009,733432
ct45,FEDAK,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/10/2008,06/01/2009,733691
ct49,FEDAK,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/02/2009,01/01/2010,733806
ct58,FEDAK,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/31/2009,07/01/2010,734077
ct65,FEDAK,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/24/2010,01/01/2011,734193
ct8,FEDAK,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/10/2005,02/01/2006,732322
hg48,FEDAK,0,1,UK,0,,,NaT,NaT,NaN
hg48a,FEDAK,0,1,UK,0,,,NaT,NaT,NaN
rh01,FEDAK,0,1,UK,0,,,NaT,NaT,NaN
ct27,NICHOLLS,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/11/2007,01/01/2008,733084
ct27x,NICHOLLS,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/27/2007,01/01/2008,733100
ct43,NICHOLLS,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/05/2009,05/01/2009,733809
ct70,NICHOLLS,1,1,UK,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/08/2011,10/06/2011,734542
ct104,SMRU,1,1,UK,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/08/2014,01/27/2015,735638
bs1,STANILAN,1,1,UK,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/09/2004,11/01/2005,732229
bs2,STANILAN,1,1,UK,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/19/2006,05/01/2007,732969
ct147,TARSAN,1,0,UK,0,,,07/24/2018,NaT,737265
BM01,ALASKA,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,06/01/2016,NaT,736482
BM02,ALASKA,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/16/2017,NaT,736923
BM03,ALASKA,1,0,USA,0,,,09/01/2018,NaT,737304
ct89,BLOCK,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/15/2012,06/02/2012,734914
ct125,COSTA,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/06/2016,05/01/2016,736366
ct127,COSTA,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/15/2016,11/01/2016,736344
ct137,COSTA,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,06/01/2017,05/15/2018,736847
ct145,COSTA,1,0,USA,0,,,12/06/2018,12/06/2018,737400
ft21,COSTA,1,1,USA,0,,,02/01/2018,05/15/2018,737092
